type,value,comment
domain,blackout-news[.]de,Final content website (Fabricated news website)
domain,derbayerischelowe[.]info,Final content website (Fabricated news website)
domain,grenzezank[.]com,Final content website (Fabricated news website)
domain,meisterurian[.]io,Final content website (Fabricated news website)
domain,miastagebuch[.]com,Final content website (Fabricated news website)
domain,wanderfalke[.]net,Final content website (Fabricated news website)
domain,brennendefrage[.]com,Final content website (Fabricated news website)
domain,deintelligenz[.]com,Final content website (Fabricated news website)
domain,derglaube[.]com,Final content website (Fabricated news website)
domain,derleitstern[.]com,Final content website (Fabricated news website)
domain,derrattenfanger[.]net,Final content website (Fabricated news website)
domain,hauynescherben[.]net,Final content website (Fabricated news website)
domain,kaputteampel[.]com,Final content website (Fabricated news website)
domain,omnam[.]life,Final content website (Fabricated news website)
domain,polskikompas[.]com,Final content website (Fabricated news website)
domain,acrosstheline[.]press,Final content website (Fabricated news website)
domain,holylandherald[.]com,Final content website (Fabricated news website)
domain,mypride[.]press,Final content website (Fabricated news website)
domain,shadowwatch[.]us,Final content website (Fabricated news website)
domain,truthgate[.]us,Final content website (Fabricated news website)
domain,ukrlm[.]info,Final content website (Fabricated news website)
domain,warfareinsider[.]us,Final content website (Fabricated news website)
domain,electionwatch[.]live,Final content website (Fabricated news website)
domain,interventionist[.]us,Final content website (Fabricated news website)
domain,liesofwallstreet[.]com,Final content website (Fabricated news website)
domain,spicyconspiracy[.]info,Final content website (Fabricated news website)
domain,uschina[.]press,Final content website (Fabricated news website)
hostname,www.psychologies[.]top,Final content website (Website impersonating legitimate one)
hostname,www.leparisien[.]wf,Final content website (Website impersonating legitimate one)
hostname,www.lepoint[.]wf,Final content website (Website impersonating legitimate one)
hostname,www.spiegel[.]ltd,Final content website (Website impersonating legitimate one)
hostname,www.welt[.]pm,Final content website (Website impersonating legitimate one)
hostname,www.forward[.]pw,Final content website (Website impersonating legitimate one)
hostname,www.hamodia[.]in,Final content website (Website impersonating legitimate one)
hostname,news.walla[.]re,Final content website (Website impersonating legitimate one)
hostname,www.polityka[.]link,Final content website (Website impersonating legitimate one)
hostname,www.polskieradio[.]cfd,Final content website (Website impersonating legitimate one)
hostname,www.polskieradio[.]icu,Final content website (Website impersonating legitimate one)
hostname,www.rbk[.]media,Final content website (Website impersonating legitimate one)
hostname,www.obozrevatel[.]ltd,Final content website (Website impersonating legitimate one)
hostname,www.unian[.]pm,Final content website (Website impersonating legitimate one)
hostname,www.fox-news[.]in,Final content website (Website impersonating legitimate one)
hostname,www.washingtonpost[.]pm,Final content website (Website impersonating legitimate one)
domain,closermag[.]eu,Possible Doppelgänger-fabricated website
domain,conspiracywatch[.]in,Possible Doppelgänger-fabricated website
domain,mensjournal[.]day,Possible Doppelgänger-fabricated website
domain,mynaszlaku[.]in,Possible Doppelgänger-fabricated website
domain,dzieckowpodrozy[.]in,Possible Doppelgänger-fabricated website
domain,bibelbund[.]cfd,Possible Doppelgänger-fabricated website
url,"hxxps://acrosstheline[.]press/escaping-from-war/biden-prioritizes-ukraine-over-u-s-border-security",Final content URL
url,"hxxps://acrosstheline[.]press/u-s-mexico-border/tragic-death-of-12-year-old-in-houston-open-borders-policy-to-blame",Final content URL
url,"hxxps://allons-y[.]social/bardella-menaces-de-recuperer-les-milliards-pilles-par-l-ue/",Final content URL
url,"hxxps://allons-y[.]social/crime-de-guerre-en-crimee-la-responsabilite-des-etats-unis-engagee/",Final content URL
url,"hxxps://allons-y[.]social/emmanuel-macron-attise-la-guerre-civile/",Final content URL
url,"hxxps://allons-y[.]social/viktor-orban-arrive-en-ukraine-pour-rencontrer-zelensky/",Final content URL
url,"hxxps://arbeitspause[.]org/kriegstreiber-pistorius-will-noch-mehr-geld/",Final content URL
url,"hxxps://arbeitspause[.]org/so-nah-am-frieden/",Final content URL
url,"hxxps://arbeitspause[.]org/ukraine-verubt-terror/",Final content URL
url,"hxxps://artichoc[.]io/emmanuel-macron-et-rachida-dati-appeles-a-ne-pas-fermer-entierement-le-centre-pompidou-pour-cinq-ans/",Final content URL
url,"hxxps://artichoc[.]io/la-sculpture-olympique-de-l-artiste-alison-saar-inauguree-a-paris/",Final content URL
url,"hxxps://artichoc[.]io/le-festival-d-avignon-appelle-son-public-a-voter-aux-prochaines-elections/",Final content URL
url,"hxxps://artichoc[.]io/les-elections-legislatives-sont-devenues-l-un-des-evenements-politiques-les-plus-mediatises/",Final content URL
url,"hxxps://artichoc[.]io/metallica-annonce-son-concert-avec-une-affiche-en-langue-russe/",Final content URL
url,"hxxps://besuchszweck[.]org/antisemitische-stimmung-bluht-in-deutschland",Final content URL
url,"hxxps://blackout-news[.]de/aktuelles/einzelhandel-in-der-krise-drastische-umsatzeinbrueche-bremsen-wirtschaftswachstum/",Final content URL
url,"hxxps://brennendefrage[.]com/europa/politische-turbulenzen-in-europa",Final content URL
url,"hxxps://brennendefrage[.]com/rest-der-welt/verantwortung-der-usa-fur-den-raketenangriff-in-sewastopol",Final content URL
url,"hxxps://candidat[.]news/elections-legislatives-2024-pour-qui-les-francais-vont-ils-voter/",Final content URL
url,"hxxps://candidat[.]news/fete-de-satan-le-soleil-et-les-montagnes-suisses-n-ont-pas-attire-tout-le-monde/",Final content URL
url,"hxxps://candidat[.]news/jo-24-20-militaires-pour-assurer-la-securite/",Final content URL
url,"hxxps://candidat[.]news/jo-la-securite-avant-tout/",Final content URL
url,"hxxps://candidat[.]news/rn-l-unite-nationale-pour-sortir-de-la-crise/",Final content URL
url,"hxxps://deintelligenz[.]com/staat/3794",Final content URL
url,"hxxps://deintelligenz[.]com/staat/amerikanisches-unternehmen-verzogert-den-bau-eines-chipwerks-in-deutschland",Final content URL
url,"hxxps://denae[.]org/article/703",Final content URL (LEGITIMATE)
